device_name,update_time,link,Temp,RH,CO2,PM2.5,PM10,eTVOC,Noise
QP170,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/3A749DAA2B476ED4FC45570E386B724D?group_id=undefined,28,62.6%,4295,19,19,52,72
QP171,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/946E4E39ECD198B3C2767F825E374811?group_id=undefined,28,67.9%,3703,16,16,52,36
QP172,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/79A53C43A3A38683F7CE0209B25517DF?group_id=undefined,29.1,62.9%,4547,18,19,30,67
QP173,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/A0C4761DC1739008AFE3C12C0E35B34E?group_id=undefined,27.5,61.3%,4034,17,18,52,78
QP174,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/CF618EC1BEA4A7558BB081D520AE6BBA?group_id=undefined,28.1,61.9%,4068,20,21,53,68
QP175,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/B518F41DB2864E68E85CA8A618A1D978?group_id=undefined,27.7,62.4%,3996,17,19,52,63
QP176,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/0C656EBA671253E751B3ADE5784F2412?group_id=undefined,28,62.1%,3868,25,25,85,67
QP177,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/14E22F0272F7B71193669D44E23013B5?group_id=undefined,28,61.5%,4157,18,19,53,81
QP178,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/73CD3527308968925D3BEF8AB597FC20?group_id=undefined,27.6,61%,3905,15,15,53,65
QP179,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/A02726BAC186BF6F8882262AE50DCD9E?group_id=undefined,27.6,64.7%,4170,16,17,53,69
QP180,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/1506A8E94660F5E09776BEAE1CBAE97A?group_id=undefined,27.2,62.2%,3699,19,20,52,64
QP181,"16:30, Apr 26",https://qingpingiot.com/deviceDetail/5722C1E763E4135DB10C4E3967CA25A4?group_id=undefined,28,59.7%,3993,18,19,52,67
QP182,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/1BDDBF202A9CD2293380B0E2E8D90DB3?group_id=undefined,29,58%,4261,18,20,--,73
QP183,"13:26, Apr 26",https://qingpingiot.com/deviceDetail/F898AE883AEE47D9B3ECF0D3FBFC281E?group_id=undefined,--,--,--,--,--,--,--
QP184,"15:50, Apr 26",https://qingpingiot.com/deviceDetail/75F030F9A966EF91DC884993DEEFA6AD?group_id=undefined,--,--,--,--,--,--,--
QP185,"16:15, Apr 26",https://qingpingiot.com/deviceDetail/DF9A383B2782F7E1A570DD83EF534D34?group_id=undefined,28,59.8%,4278,19,20,48,71
QP186,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/A4F0DF921614D5DA5A89CD90410C1F9D?group_id=undefined,27.1,60.3%,4177,21,21,39,70
QP187,"12:33, Apr 26",https://qingpingiot.com/deviceDetail/E5274C2799419F9108B843201183BBFD?group_id=undefined,--,--,--,--,--,--,--
QP188,"13:24, Apr 26",https://qingpingiot.com/deviceDetail/9406DB3D17B56D9312D810B1D8A60042?group_id=undefined,--,--,--,--,--,--,--
QP189,"12:56, Apr 26",https://qingpingiot.com/deviceDetail/CD46CF200A65CCA07E29FE155656BE9D?group_id=undefined,--,--,--,--,--,--,--
QP190,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/6F0ABDF4E1A7FC860586AFC26AD7C7DD?group_id=undefined,27,63.2%,4433,20,20,44,66
QP191,"13:21, Apr 26",https://qingpingiot.com/deviceDetail/EAB6D0A0854CFAFFDCF87745EAE5832A?group_id=undefined,--,--,--,--,--,--,--
QP192,"13:30, Apr 26",https://qingpingiot.com/deviceDetail/A40CD16E5ED2950638E9361A81F05586?group_id=undefined,--,--,--,--,--,--,--
QP193,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/A3180087FB23B436AA1818DCBB9C2313?group_id=undefined,27.4,63.3%,3146,25,25,15,75
QP194,"12:26, Apr 26",https://qingpingiot.com/deviceDetail/3FEC1C15761A81BDE4CFEBB10056B4ED?group_id=undefined,--,--,--,--,--,--,--
QP195,"13:15, Apr 26",https://qingpingiot.com/deviceDetail/A3088E4606AFBEA5F42CA7601DF948E9?group_id=undefined,--,--,--,--,--,--,--
QP196,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/D7CD4DC118559B9E4E81CF4DBC1D1C40?group_id=undefined,28.6,62.2%,4035,99999,99999,52,66
QP197,"13:35, Apr 26",https://qingpingiot.com/deviceDetail/E1A6D75A5562C19A7BEE49BB712EB9A9?group_id=undefined,--,--,--,--,--,--,--
QP198,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/0D3D0844F01ACC53F367F78855CEC064?group_id=undefined,27.2,62%,4240,23,25,52,76
QP199,"13:45, Apr 26",https://qingpingiot.com/deviceDetail/88F7C7608C248903DD2BA69049EBFB4F?group_id=undefined,26.8,61.3%,3387,31,33,51,73
QP200,"13:37, Apr 26",https://qingpingiot.com/deviceDetail/1B4212DF0FC4BE2ECE34D6F142E4DACC?group_id=undefined,--,--,--,--,--,--,--
QP201,"19:30, Apr 26",https://qingpingiot.com/deviceDetail/8B7CD179592611406E4951511073E37D?group_id=undefined,27.2,68.3%,4315,28,30,116,62
QP202,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/F50F9515F2B083A4FC47E3CCEF6D6C5A?group_id=undefined,26.4,68.2%,4030,28,30,65,66
QP203,"12:30, Apr 28",https://qingpingiot.com/deviceDetail/615C7665D0A7F0D9EE63EAD8932FEFBA?group_id=undefined,27.4,65.2%,1811,99999,99999,51,56
QP204,"12:30, Apr 28",https://qingpingiot.com/deviceDetail/E1B34850E2FFB87B2171E11FC9B9FE20?group_id=undefined,27.2,63.2%,1777,99999,99999,51,54
QP205,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/4B7F6A39EC01B9961C1FB8F3694279CC?group_id=undefined,28.6,58.7%,4419,23,24,52,64
QP206,"21:45, Apr 26",https://qingpingiot.com/deviceDetail/988A1F657510D9EF9CCD113C0E135ACC?group_id=undefined,29.9,65%,3620,99999,99999,56,53
QP207,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/D0D16916397480562EC6247552B78CC6?group_id=undefined,27.6,62%,4648,26,26,53,67
QP208,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/4BFE71FDA34ABBD6DBAEB5A85A0F3D03?group_id=undefined,27.6,66.5%,4043,22,23,41,68
QP209,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/A8FC30C3012BD34100FF49B4AFCF875C?group_id=undefined,28.4,63.7%,4177,27,29,46,61
QP210,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/7143F5073F4649B44383C287456040B3?group_id=undefined,28.6,57.8%,4350,23,23,48,65
QP211,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/132366DFDB10948DCC8E3D6BD76D9E9A?group_id=undefined,27.8,60.2%,4289,27,29,53,61
QP212,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/4E438462D1EA40BCBB0926BEAF1528B5?group_id=undefined,27.9,71.6%,4441,20,20,44,70
QP213,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/C499D6345CD5964DF02B6DECE7A4DD29?group_id=undefined,28.4,58.2%,4262,30,34,82,72
QP214,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/4D36EF36C32D1343BFEE3EB0C9954B3B?group_id=undefined,28.1,61.8%,4364,23,25,53,74
QP215,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/B7799237908214E442EADDFB1FE08099?group_id=undefined,27.7,66.1%,4454,23,23,53,67
QP216,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/5D914F824E24BDD83874A0D125AC4B1F?group_id=undefined,28.1,60.9%,4240,22,23,52,70
QP217,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/3863B389F87C607DF85DA182CFC9DE09?group_id=undefined,28.1,60.6%,4279,21,21,53,57
QP218,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/6B95D5C2C327C51565B85DA288865A5C?group_id=undefined,28,61.9%,4366,25,27,53,70
QP219,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/E34DBAEE9B16FD52B9036B2F3D9585CE?group_id=undefined,26.3,67.3%,3873,27,29,52,68
QP220,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/F791CE102EAC955A616A8F0F5E69CA08?group_id=undefined,28.1,63.4%,4417,22,22,47,69
QP221,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/F4D98D26F289E9F8D558CA91E1820986?group_id=undefined,28.2,61.9%,4488,22,24,52,73
QP222,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/4B6CAB72159F40E5BFB5BFB3E7DC5F8F?group_id=undefined,27.3,64.7%,4442,20,20,25,65
QP223,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/37EA83C1F4A02EFE0460077BF55ECB28?group_id=undefined,28.5,63.4%,4222,21,24,52,64
QP224,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/58FA4B52338A85359C5EBA1DF3A4FD2F?group_id=undefined,26.6,64.6%,4338,20,21,51,64
QP225,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/A7EBAFF89CCB1F024213D88BEBD11C51?group_id=undefined,26,60.9%,3875,28,29,44,66
QP226,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/684CDA697E601C6A9CA6E9AC5D7B3DAB?group_id=undefined,28.1,61.3%,4032,24,24,43,64
QP227,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/A4D82C41FF064371A671176C4BF5D84A?group_id=undefined,28.2,62.8%,4336,23,23,53,69
QP228,"14:02, Apr 26",https://qingpingiot.com/deviceDetail/0F5B4B48B0A81F0FB5A6816E78C00873?group_id=undefined,--,--,--,--,--,--,--
QP229,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/01D301565AA54830D4BF0D96ACD4A3B5?group_id=undefined,28,65.8%,4467,23,24,52,80
QP230,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/1BE1D12589FD8297A12A1A11BD468C6E?group_id=undefined,28.3,63.1%,4155,22,24,52,64
QP231,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/A5ED01711E5791DAF0AFF11538A18564?group_id=undefined,28.6,61.6%,4842,23,24,52,73
QP232,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/93FA2A1D82BF54EF9D9344CF6AF0EBE0?group_id=undefined,28.8,58%,4029,20,21,52,70
QP233,"17:30, Apr 26",https://qingpingiot.com/deviceDetail/B94A15410E7B96C4AFD97DF09A0CFF1E?group_id=undefined,27.9,59.6%,4434,22,22,53,67
QP234,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/5DF40B365F08FC50D37DAD49C2EA931F?group_id=undefined,26.7,57.3%,3852,25,25,52,73
QP235,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/2350CAB7685E50A275E4B90491CC0270?group_id=undefined,26.9,59.7%,4004,24,25,44,59
QP236,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/942224D4B279DFD486BD41C28AFB53CF?group_id=undefined,26.1,62.4%,3905,25,26,73,70
QP237,"13:56, Apr 26",https://qingpingiot.com/deviceDetail/0E685B046C37F62B8CB9BB2D751C737F?group_id=undefined,--,--,--,--,--,--,--
QP238,"16:15, Apr 26",https://qingpingiot.com/deviceDetail/1C422E86EB83A9CBA87F64B6672A416C?group_id=undefined,28.8,59%,4023,15,16,32,70
QP239,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/3A646CBE9BD05104CA5535702C7287A8?group_id=undefined,28.4,59.9%,3831,18,19,39,66
QP240,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/5997F08ECA959EC9A9227AE47D6AD329?group_id=undefined,28.8,59.7%,4331,20,21,53,82
QP241,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/3FD2A3B6CB8173350A5CC2AD49731090?group_id=undefined,27.2,63.5%,4220,20,21,52,69
QP242,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/7F51DCDF27128A981BEBB42601FCF76D?group_id=undefined,28.1,59.9%,4362,21,22,53,72
QP243,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/A004E4B6CCBAEF0B0C1345B1551A2024?group_id=undefined,29.1,55.7%,4265,17,18,42,59
QP244,"14:00, Apr 26",https://qingpingiot.com/deviceDetail/E5A9DB974E4AA819C6261972B9EBF379?group_id=undefined,26.9,63.6%,3626,28,31,47,64
QP245,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/180906404C60D232CCD121298E2ECAE0?group_id=undefined,27.3,63.8%,2989,25,26,54,75
QP246,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/0EFA6E2358FFBC752995CE712F21D9A8?group_id=undefined,28.3,60.3%,4334,18,19,52,63
QP247,"16:30, Apr 26",https://qingpingiot.com/deviceDetail/AF6B41F0D6D6CF3E53E112518C3ED6A9?group_id=undefined,28.5,62%,3916,17,17,33,67
QP248,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/D9A5CFD4DA652CFB2FEA4A03F7EFD96C?group_id=undefined,28.3,59.2%,4565,20,21,52,68
QP249,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/72E89F0D7444E1D031203692EB69D3E5?group_id=undefined,28.7,56%,3810,25,25,56,63
QP250,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/017E3CA67BBD208B97FE621A9C283E44?group_id=undefined,29.3,58.8%,4143,22,22,52,63
QP251,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/F9856AC7F99B1E977E1082319B029351?group_id=undefined,28.3,63%,4180,22,23,53,83
QP252,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/56886570333A08465BF015FC68638D01?group_id=undefined,28.8,55.7%,3891,27,27,52,64
QP253,"15:39, Apr 26",https://qingpingiot.com/deviceDetail/AEDD2060232B775F61BE2BC7CEB3944D?group_id=undefined,--,--,--,--,--,--,--
QP254,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/487DF76B98C15AFF27B4326B7EBB8493?group_id=undefined,28.4,62%,3992,19,22,50,69
QP255,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/AD4AB85A02F99992DBE67677001481F9?group_id=undefined,29,57.8%,4047,17,17,53,70
QP256,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/5C345E4576E8CD30013691CF81A6E218?group_id=undefined,26.2,63.5%,4082,28,29,52,78
QP257,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/3D563E67B2298A92313B44C1FB9CA5F2?group_id=undefined,29,59.5%,4179,20,21,52,68
QP258,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/7F5A31137DB5BC6830F4A6478B7FA686?group_id=undefined,26.7,62.8%,4084,28,29,52,72
QP259,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/1D050FA5B5DA9D2F9EFBE35B3D8BE25C?group_id=undefined,27.7,61.5%,4308,20,21,52,67
QP260,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/0500554FF75F78FF3B92281ADFA21AEA?group_id=undefined,27.2,61.6%,3696,22,24,52,73
QP261,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/339A8DB27CF01C972DAE541150F268C6?group_id=undefined,29.5,59.7%,4236,19,20,52,63
QP262,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/C327642315DBA8ED945F76629B5BE13B?group_id=undefined,27.9,58.9%,3998,22,23,52,66
QP263,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/06E720ACBAF1423E817953C0851F2604?group_id=undefined,27.6,62.1%,3226,30,32,51,70
QP264,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/55F2C2BBD8F25552D6172C565DD8937D?group_id=undefined,26.7,62%,4007,27,29,52,73
QP265,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/E8F33A64E6B3FD4702B52D07A4D7E008?group_id=undefined,28.2,62.5%,4177,23,25,53,73
QP266,"17:26, May 15",https://qingpingiot.com/deviceDetail/D34975DB6B78E650F0CEFF22ABDADF72?group_id=undefined,25.8,59.7%,1447,99999,99999,5,61
QP267,"17:19, May 15",https://qingpingiot.com/deviceDetail/B4298E2D0699006483507E99C3112E3C?group_id=undefined,26.2,59.1%,1943,99999,99999,--,66
QP268,"14:20, Apr 26",https://qingpingiot.com/deviceDetail/CC7F62B0A6B4B16856F5DC44C31D6C49?group_id=undefined,--,--,--,--,--,--,--
QP269,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/4ED8CA03F998A285CB68A3851BFA9068?group_id=undefined,29.1,58.6%,4457,14,14,52,65
QP270,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/3E74A24E754036BCFBE391A2A906D536?group_id=undefined,27.7,67.9%,4063,24,25,104,68
QP271,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/EBC71357D01C34A1BA5B8F382022BC80?group_id=undefined,27.8,61.1%,3927,24,25,42,69
QP272,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/0C47BBB060F9BD6F0F8F38E7A5E9731D?group_id=undefined,28.5,64.3%,3919,22,23,53,63
QP273,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/67FF5FA44B32246AC9DD79B733B5FDC2?group_id=undefined,28.2,61.4%,4154,16,17,53,58
QP274,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/43BC5B2AB443D4F65DBCAACCBE5C820C?group_id=undefined,28,59.2%,4285,16,16,52,67
QP275,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/7FABF6CA005857BFA47B960F2FBCB1C1?group_id=undefined,29,60.2%,4484,18,18,53,67
QP276,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/7AC478B5AE976E0A01A8D7E6A16D60BA?group_id=undefined,27.3,64%,4029,17,18,45,68
QP277,"14:38, Apr 26",https://qingpingiot.com/deviceDetail/C3A073609A6FABB81B30E369114B95B9?group_id=undefined,--,--,--,--,--,--,--
QP278,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/6C8B65ACB8D9CBD4C1BCF1189D7A9289?group_id=undefined,28.8,60.9%,4202,18,18,52,85
QP279,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/86EE2EA780F55F4B63030D205717F39A?group_id=undefined,26.9,58%,3745,24,25,59,70
QP280,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/0654B355631E26FCA881AD51DD21D2D7?group_id=undefined,28.1,60.3%,4026,21,21,46,60
QP281,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/D058D9E7562512B5646FCCEBAF82E898?group_id=undefined,26.8,63.4%,4197,21,21,52,57
QP282,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/5FF7D2BF578DD04010AC5970D9D36BBF?group_id=undefined,26.9,64.1%,3901,20,22,38,69
QP283,"18:32, Apr 26",https://qingpingiot.com/deviceDetail/F6AE7895EB1D99A6B4F135320A61ACA2?group_id=undefined,--,--,--,--,--,--,--
QP284,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/7646E5A7B2C4A6463C00D73B3121E025?group_id=undefined,28.5,59.1%,4162,21,22,44,71
QP285,"18:30, Apr 26",https://qingpingiot.com/deviceDetail/327CB2236D5A71D5821D82C0271BEA92?group_id=undefined,29.6,60%,4089,15,15,53,66
QP286,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/FCB69D4ADAB0BA88F7D557C1D5D2C7AF?group_id=undefined,28.4,62.9%,4471,22,22,96,69
QP287,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/8E6DFA50C7E91778A4B202A9F467649D?group_id=undefined,28.2,58.9%,3898,26,27,40,67
QP288,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/C0978F26F5E388D73BE41ED8FF7BAC81?group_id=undefined,26.4,63.6%,3799,21,21,53,60
QP289,"15:15, Apr 26",https://qingpingiot.com/deviceDetail/B887A3CB7E04FF96F9394FD4189223B6?group_id=undefined,25.8,68%,3866,16,17,52,69
QP290,"18:13, Apr 26",https://qingpingiot.com/deviceDetail/4179B0D88DE40EEDFA2BE88FF628A948?group_id=undefined,--,--,--,--,--,--,--
QP291,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/EBF527E608CB9604ED1549E677853958?group_id=undefined,27,60.2%,4086,25,29,46,60
QP292,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/2DFC8634039F3471FBA66D7CB773A57F?group_id=undefined,28.7,58.4%,3989,21,21,53,66
QP293,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/E17C71D7E08A5A15B652E9D5549A3859?group_id=undefined,28.5,60%,3800,21,21,45,70
QP294,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/8169268433A936193145B0AC59E800C9?group_id=undefined,28.4,62.5%,4344,16,17,53,59
QP295,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/63E16D1A910FAE4BE9AF2938B638F06A?group_id=undefined,28,60.7%,4040,22,22,55,71
QP296,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/2F43AFF9CC501B293792FF7B72A09893?group_id=undefined,28.8,56.5%,4135,20,21,51,67
QP297,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/3B97AF2FC916B18221AF13F77AA557BF?group_id=undefined,27.3,64.3%,4296,15,16,52,65
QP298,"15:15, Apr 26",https://qingpingiot.com/deviceDetail/9ECA64AF96AFB510C3D9619ABB9BDCFB?group_id=undefined,26,68.3%,3679,16,16,52,68
QP299,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/5AA6CFC7A20C10F18297E93AA1745DBB?group_id=undefined,27.1,66.1%,3763,20,21,44,64
QP300,"17:13, Apr 26",https://qingpingiot.com/deviceDetail/0536AD620316AFEA728CA83F8C01A8C9?group_id=undefined,--,--,--,--,--,--,--
QP301,"17:11, Apr 7",https://qingpingiot.com/deviceDetail/44AEA955A529B3C40E8DF4814E8C2445?group_id=undefined,24.3,57.6%,1353,4,4,28,41
QP302,"13:47, Apr 7",https://qingpingiot.com/deviceDetail/1CE177B8B6A3ECA60ADC8A9BE22C55A7?group_id=undefined,24.4,67.5%,1105,6,6,50,45
QP303,"10:13, Apr 16",https://qingpingiot.com/deviceDetail/1E7A6B58529809AFE1F04E5467B6C53C?group_id=undefined,25.9,59.5%,2181,43,43,52,55
QP304,"10:12, Apr 16",https://qingpingiot.com/deviceDetail/049F8BCEAAD2DD7555FA7FD4489DB750?group_id=undefined,25,61.4%,2086,40,42,52,47
QP305,"10:12, Apr 16",https://qingpingiot.com/deviceDetail/A9FE0B9CC55AC7FFF59410D06FA0E7E4?group_id=undefined,26.2,62.2%,2029,34,34,52,43
QP306,"10:12, Apr 16",https://qingpingiot.com/deviceDetail/B7AEE1FE0527E9232283A3708B7EA3E0?group_id=undefined,26.4,61.3%,2226,37,37,52,51
QP307,"10:11, Apr 16",https://qingpingiot.com/deviceDetail/8C811D0DAC31075405FD197997380C92?group_id=undefined,25.8,63.8%,2022,38,39,52,56
QP308,"10:11, Apr 16",https://qingpingiot.com/deviceDetail/60896D497672CF0E6EE4BD626FFC4AB6?group_id=undefined,26.1,60.2%,2119,38,38,52,47
QP309,"10:10, Apr 16",https://qingpingiot.com/deviceDetail/9B74E89E8B1243DD8FA92D22F8661BAF?group_id=undefined,25.6,62.6%,1988,44,46,52,44
QP310,"10:10, Apr 16",https://qingpingiot.com/deviceDetail/6552C740E58E5E07A36C5745E6774311?group_id=undefined,26.6,57.2%,2133,50,53,52,47
QP311,"13:46, Apr 16",https://qingpingiot.com/deviceDetail/177210C356D1C8013A61211C3F876AED?group_id=undefined,22.9,68.8%,1501,9,9,52,43
QP312,"13:48, Apr 16",https://qingpingiot.com/deviceDetail/3DD0DCAFE00DAF9CF52A72248C249EE0?group_id=undefined,22.5,66.8%,1164,9,9,--,49
QP313,"13:01, Apr 7",https://qingpingiot.com/deviceDetail/806AD05E16C8AF29DDCBF4A8CC0FA153?group_id=undefined,24.7,70%,955,4,4,51,43
QP314,"13:45, Apr 7",https://qingpingiot.com/deviceDetail/B0E17B02B072585E043B8FA9037CB298?group_id=undefined,24,66.9%,911,4,4,52,37
QP315,"13:46, Apr 16",https://qingpingiot.com/deviceDetail/A234E3F535364E6E4F30554BB621EAB1?group_id=undefined,22.5,67%,1127,11,11,52,39
QP316,"13:47, Apr 16",https://qingpingiot.com/deviceDetail/4399ABB002BFFDD88233064A04F426B2?group_id=undefined,22.5,65.4%,1090,9,9,52,37
QP317,"12:45, Apr 7",https://qingpingiot.com/deviceDetail/D0C79BACB990125E2227EE301DA8025C?group_id=undefined,24.3,62.3%,1542,4,4,52,38
QP318,"13:52, Apr 30",https://qingpingiot.com/deviceDetail/A087CC377766B833CECE5A744A00162A?group_id=undefined,23.9,73.6%,1223,6,6,49,51
QP319,"13:00, Apr 7",https://qingpingiot.com/deviceDetail/B5A6256C98381BAC7AEE809FF093E211?group_id=undefined,24.3,66.9%,836,4,4,52,68
QP320,"12:56, Apr 7",https://qingpingiot.com/deviceDetail/9BED6EE6DE1091B56BCFFB5C66D18037?group_id=undefined,24.6,71.3%,990,4,4,52,41
QP321,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/FF300D19DB2A23AF413416D0D8FF1BFE?group_id=undefined,25.7,62.6%,3880,23,25,52,61
QP322,"17:23, Apr 26",https://qingpingiot.com/deviceDetail/C907E77D72103960F584663D6AD3693C?group_id=undefined,--,--,--,--,--,--,--
QP323,"18:15, Apr 26",https://qingpingiot.com/deviceDetail/88ACA1FE59966AAAE04BFF1FE9712031?group_id=undefined,27.3,65.2%,4334,17,19,52,70
QP324,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/2FFA034665EB0ECCBFAE2B2BC7A36793?group_id=undefined,27.6,60.5%,4172,26,28,51,70
QP325,"16:45, Apr 26",https://qingpingiot.com/deviceDetail/16F946446D3B0599F25250977631438B?group_id=undefined,26.4,66.6%,4182,19,19,--,66
QP326,"17:31, Apr 26",https://qingpingiot.com/deviceDetail/E1A4E5498D1A30E5DB50B53FEB2BAD40?group_id=undefined,--,--,--,--,--,--,--
QP327,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/D7555861FDC62F376C873CA88F1AEB76?group_id=undefined,28.2,58.4%,4109,27,28,51,78
QP328,"18:24, Apr 26",https://qingpingiot.com/deviceDetail/8237F2D8F7C5598DD511C1EA02035221?group_id=undefined,--,--,--,--,--,--,--
QP329,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/B9F9EFB5DB4D9CE877220396368D24AE?group_id=undefined,28.3,59%,4092,24,26,35,61
QP330,"15:38, Apr 26",https://qingpingiot.com/deviceDetail/F5B964AC80FF9374C4F196D28F1B34CF?group_id=undefined,--,--,--,--,--,--,--
QP331,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/63A52CB79C0F77B8C3E80E069D851D29?group_id=undefined,27.6,61.4%,4088,26,26,52,65
QP332,"18:05, Apr 26",https://qingpingiot.com/deviceDetail/32734698AACF5283A1134E5A10B6CE74?group_id=undefined,--,--,--,--,--,--,--
QP333,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/A80C4873E77022F0ECDF96138C6EE215?group_id=undefined,28.4,64.9%,4035,23,23,73,63
QP334,"17:45, Apr 26",https://qingpingiot.com/deviceDetail/BC8CC32EEF252EF1F087AEAB9272B959?group_id=undefined,28.1,60%,4635,17,17,--,70
QP335,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/992C1E35BE93E50709B22F0741C7F456?group_id=undefined,27.8,61.3%,4100,25,28,38,69
QP336,"15:38, Apr 26",https://qingpingiot.com/deviceDetail/C5B16F9CB3AF1E5BAE83A8C1E0630F41?group_id=undefined,--,--,--,--,--,--,--
QP337,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/084278975EC8A189C184808FB078867A?group_id=undefined,25.9,64.8%,3924,21,21,53,78
